Node Postgres App,"Lorem, ipsum dolor sit amet consectetur adipisicing elit.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","node-postgres-app",1
Webpack 4,"Rem quam obcaecati, praesentium quo ratione non esse facilis neque ab doloribus veritatis saepe laboriosam explicabo, quod corporis magnam laborum sit at!","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","webpack-4",2
Unit Testing,"Deserunt similique possimus dolorum porro, ab ea.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","unit-testing",1
Database normalization,"Rerum, quidem. Sed unde cumque voluptates ullam veritatis quam amet iure ratione repudiandae consectetur modi quas recusandae, qui, aperiam perferendis cupiditate a.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","database-normalization",2
Clean Code,"Sapiente aliquid commodi molestiae placeat tenetur deserunt quia fugit maiores aspernatur dolore, facere quo minima delectus cumque mollitia unde minus, suscipit sint!.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","clean-code",1
AWS,"Necessitatibus vero, nobis similique impedit minus repellendus odio ipsa magnam facilis saepe voluptatum eius sit eveniet, beatae esse dolor dolore.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","aws",2
GSP,"Omnis aliquid eius aut veritatis maxime.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","gsp",1
Scale,"Voluptatem corrupti, eius hic explicabo totam ratione rerum vel recusandae magni quasi voluptate minima deleniti saepe, corporis ex natus.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","scale",2
Optimization,"Nulla blanditiis vel deleniti odio libero animi quos numquam beatae nihil, corporis repudiandae modi.","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","optimization",1
V8 Engine,"Similique asperiores rerum nisi magni!","<p>Lorem ipsum dolor sit amet, consectetur adipisicing elit. Atque corporis culpa eligendi excepturi repellendus? Dolorum earum eius exercitationem pariatur. Aliquam asperiores dicta earum eius, eos eum temporibus ex necessitatibus nihil temporibus.</p>","v8-engine",2
